name,operator,address,description,lun_normal,mar_normal,mer_normal,jeu_normal,ven_normal,sam_normal,dim_normal,hourly_normal,daily_normal,max_normal,lun_special,mar_special,mer_special,jeu_special,ven_special,sam_special,dim_special,hourly_special,daily_special,max_special,lun_free,mar_free,mer_free,jeu_free,ven_free,sam_free,dim_free,daily_free,indoor,handicap,card,valet,lat,long,capacity,street_view_lat,street_view_long,street_view_head,street_view_id,active
#024 Saint-André,Stationnement de Montréal,6629 rue Saint-André,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",1.75,,8,,,,,,,,,,,"0,6","0,6","0,6","0,6","0,6","0,6","0,6",8,FALSE,TRUE,TRUE,FALSE,45.537895,-73.604973,100,45.5377132,-73.6054188,72.52,R6OVTSMFKTClUyiw3sZokA,TRUE
#045 Gare Viger,Stationnement de Montréal,730 rue Saint-Hubert,,"15,24","15,24","15,24","15,24","15,24","0,24","0,24",4,,17,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,45.512802,-73.551613,200,45.5126934,-73.5520947,65.82,0cWqfA1lNOsaTBMOVA9kZA,TRUE
#066 Place-Eugène-Lapierre,Stationnement de Montréal,333 boulevard de Maisonneuve Ouest,,"17,24","17,24","17,24","17,24","17,24","17,24","17,24",4.5,,16,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,45.507702,-73.568916,70,45.5078421,-73.5685504,236.68,dh6LuLMnNGE9XnbTYEz4mQ,TRUE
#072 Marquette,Stationnement de Montréal,4543 rue Fabre,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",3,,12,,,,,,,,,,,"0,6","0,6","0,6","0,6","0,6","0,6","0,6",12,FALSE,FALSE,TRUE,FALSE,45.532177,-73.57621,45,45.5317937,-73.5764945,26.32,0w0YUwrUslsIzT5gvoSZIg,TRUE
#073 6e avenue,Stationnement de Montréal,5435 6e Avenue,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",1.75,,8,,,,,,,,,,,"0,6","0,6","0,6","0,6","0,6","0,6","0,6",8,FALSE,FALSE,TRUE,FALSE,45.548382,-73.575462,32,45.5482547,-73.5754679,355.91,H7NRzpblyfSu17TPFsVqoA,TRUE
#075 8e avenue,Stationnement de Montréal,5435 8e Avenue,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",1.75,,8,,,,,,,,,,,"0,6","0,6","0,6","0,6","0,6","0,6","0,6",8,FALSE,FALSE,TRUE,FALSE,45.549473,-73.574814,32,45.5493702,-73.5748012,349.43,Brq3QxHRAqXo_65ap2A8DA,TRUE
#078 Boyer,Stationnement de Montréal,6900 rue Boyer,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",2.5,,10,,,,,,,,,,,"0,6","0,6","0,6","0,6","0,6","0,6","0,6",10,TRUE,TRUE,TRUE,FALSE,45.539753,-73.608665,,45.5399055,-73.6086891,250.48,wyGWn9xAft5v2KhN_1RjQg,TRUE
#115 Remembrance (Lac aux Castors),Stationnement de Montréal,2000 chemin Remembrance,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",3,,8,,,,,,,,,,,"0,6","0,6","0,6","0,6","0,6","0,6","0,6",8,FALSE,TRUE,TRUE,FALSE,45.49942,-73.599892,50,45.4994381,-73.6000995,93.12,LqYXgEc2SmfDiQ3tL9f3XQ,TRUE
#116 Remembrance,Stationnement de Montréal,2000 chemin Remembrance,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",3,,8,,,,,,,,,,,"0,6","0,6","0,6","0,6","0,6","0,6","0,6",8,FALSE,TRUE,TRUE,FALSE,45.498722,-73.600998,125,45.498484,-73.6016472,133.48,81OElH51tIGu1Mv4WfsYsg,TRUE
#117 Remembrance (Maison Smith),Stationnement de Montréal,1502 chemin Remembrance,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",3,,8,,,,,,,,,,,"0,6","0,6","0,6","0,6","0,6","0,6","0,6",8,FALSE,TRUE,TRUE,FALSE,45.501686,-73.59433,340,45.5019684,-73.5958267,114.74,NtqZt_L5bikT1WYp6r-6Pg,TRUE
