name,operator,address,description,lun_normal,mar_normal,mer_normal,jeu_normal,ven_normal,sam_normal,dim_normal,hourly_normal,daily_normal,max_normal,lun_special,mar_special,mer_special,jeu_special,ven_special,sam_special,dim_special,hourly_special,daily_special,max_special,lun_free,mar_free,mer_free,jeu_free,ven_free,sam_free,dim_free,daily_free,indoor,handicap,card,valet,lat,long,capacity,street_view_lat,street_view_long,street_view_head,street_view_id,active
425-475 St-Amable,Vinci,"1171, rue de Claire-Fontaine",,"0,24","0,24","0,24","0,24","0,24",,,,17,,,,,,,"0,24","0,24",,10,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,46.804929,-71.219732,589,46.8049139,-71.2198712,36.97,6Qk6YiNZgeojSKJAfmNFEw,TRUE
Bassin Brown,Vinci,"581, boulevard Champlain",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",3,16,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,TRUE,FALSE,46.801014,-71.212888,70,46.8010331,-71.2130561,52.32,qjGZ5HrA3pRTERS0coSnhg,TRUE
Bassin Louise,Vinci,"320, rue Abraham Martin",,"0,24","0,24","0,24","0,24","0,24",,,5,15,,,,,,,"0,24","0,24",5,10,,,,,,,,,,FALSE,TRUE,TRUE,FALSE,46.818369,-71.212632,325,46.8183598,-71.2125404,48.06,ItHws1EV9yigURE2T2uo9g,TRUE
Clinique Laennec,Vinci,"1750, avenue de Vitré",,"0,24","0,24","0,24","0,24","0,24",,,4,10,,,,,,,"0,24","0,24",4,5,,,,,,,,,,TRUE,TRUE,TRUE,FALSE,46.837011,-71.223774,70,46.8368909,-71.2236064,82.09,PkJOJciP0CDZ1Rjo0GMgew,TRUE
Des Bains,Vinci,"5, ruelle des Bains",,"0,24","0,24","0,24","0,24","0,24",,,5,15,,,,,,,"0,24","0,24",5,9,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,46.8164,-71.211665,62,46.8164801,-71.2118672,113.91,NlDTcGT5RMavCh2sveaCGQ,TRUE
Dorchester,Vinci,"275, rue Sainte-Hélène",,"0,24","0,24","0,24","0,24","0,24",,,4,14,,,,,,,"0,24","0,24",4,7,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,46.812211,-71.226518,21,46.8122238,-71.2264656,195.95,QV5Z47enW8CT1qVoUo_ImA,TRUE
Gare Autobus Ste-Foy,Vinci,"6, avenue de Rochebelle",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",,9,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,TRUE,FALSE,46.772204,-71.301139,156,46.7721105,-71.3013998,102.43,9zdSpwHQM4eBMLXBWfrpjA,TRUE
Hôpital Jeffery Hale,Vinci,"1270, chemin Sainte-Foy",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",6,12,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,TRUE,FALSE,46.796201,-71.252883,408,46.7958361,-71.2520216,297.97,e7ShWBcsbW17-kEVFqFVFg,TRUE
Hôtel Château-Laurier,Vinci,"771, avenue Wilfrid-Laurier",,"0,24","0,24","0,24","0,24","0,24",,,5,23,,,,,,,"0,24","0,24",5,7,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,46.806112,-71.215116,304,46.806013,-71.2150632,164.61,_A_Ufx_a4aXG_qt5bhH9Dg,TRUE
La Promenade,Vinci,"125, rue Dalhousie",,"0,24","0,24","0,24","0,24","0,24",,,6,18,,,,,,,"0,24","0,24",6,12,,,,,,,,,,FALSE,TRUE,TRUE,TRUE,46.817768,-71.202805,140,46.8177376,-71.2026464,281.65,J37gnjfK5GTGq9YGsNhaoQ,TRUE
