name,operator,address,description,lun_normal,mar_normal,mer_normal,jeu_normal,ven_normal,sam_normal,dim_normal,hourly_normal,daily_normal,lun_special,mar_special,mer_special,jeu_special,ven_special,sam_special,dim_special,hourly_special,daily_special,lun_free,mar_free,mer_free,jeu_free,ven_free,sam_free,dim_free,indoor,handicap,clerk,valet,lat,long,active
#024 Saint-André,Stationnement de Montréal,6629 rue Saint-André,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",1.75,8,,,,,,,,,,"0,6","0,6","0,6","0,6","0,6","0,6","0,6",FALSE,TRUE,FALSE,FALSE,45.5378949999999989,-73.60497300000000109,TRUE
#045 Gare Viger,Stationnement de Montréal,730 rue Saint-Hubert,,"15,24","15,24","15,24","15,24","15,24","0,24","0,24",4,17,,,,,,,,,,"0,15","0,15","0,15","0,15","0,15",,,FALSE,FALSE,FALSE,FALSE,45.51280200000000775,-73.55161300000000324,TRUE
#066 Place-Eugène-Lapierre,Stationnement de Montréal,333 boulevard de Maisonneuve Ouest,,"17,24","17,24","17,24","17,24","17,24","17,24","17,24",4.50,16,,,,,,,,,,"17,24","17,24","17,24","17,24","17,24","17,24","17,24",FALSE,FALSE,FALSE,FALSE,45.50770200000000187,-73.56891600000000153,TRUE
#072 Marquette,Stationnement de Montréal,4543 rue Fabre,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",3,12,,,,,,,,,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",FALSE,FALSE,FALSE,FALSE,45.53217699999999724,-73.57621000000000322,TRUE
#073 6e avenue,Stationnement de Montréal,5435 6e Avenue,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",1.75,8,,,,,,,,,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",FALSE,FALSE,FALSE,FALSE,45.54838199999999659,-73.57546200000000169,TRUE
#075 8e avenue,Stationnement de Montréal,5435 8e Avenue,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",1.75,8,,,,,,,,,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",FALSE,FALSE,FALSE,FALSE,45.54947299999999899,-73.57481400000000349,TRUE
#078 Boyer,Stationnement de Montréal,6900 rue Boyer,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",2.50,10,,,,,,,,,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",FALSE,TRUE,FALSE,FALSE,45.53975299999999748,-73.60866500000000201,TRUE
#115 Remembrance (Lac aux Castors),Stationnement de Montréal,2000 chemin Remembrance,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",3,8,,,,,,,,,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",FALSE,TRUE,FALSE,FALSE,45.49942000000000064,-73.59989199999999698,TRUE
#116 Remembrance,Stationnement de Montréal,2000 chemin Remembrance,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",3,8,,,,,,,,,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",FALSE,TRUE,FALSE,FALSE,45.49872200000000788,-73.60099800000000414,TRUE
#117 Remembrance (Maison Smith),Stationnement de Montréal,1502 chemin Remembrance,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",3,8,,,,,,,,,,"6,24","6,24","6,24","6,24","6,24","6,24","6,24",FALSE,TRUE,FALSE,FALSE,45.50168599999999941,-73.59432999999999936,TRUE
