name,operator,address,description,lun_normal,mar_normal,mer_normal,jeu_normal,ven_normal,sam_normal,dim_normal,hourly_normal,daily_normal,max_normal,lun_special,mar_special,mer_special,jeu_special,ven_special,sam_special,dim_special,hourly_special,daily_special,max_special,lun_free,mar_free,mer_free,jeu_free,ven_free,sam_free,dim_free,indoor,handicap,card,valet,lat,long,capacity,street_view_lat,street_view_long,street_view_head,active
"300, St-Paul",Vinci,"300, rue Saint-Paul Ouest",,"0,24","0,24","0,24","0,24","0,24",,,4,15,,,,,,,"0,24","0,24",4,10,,,,,,,,,FALSE,TRUE,TRUE,FALSE,45.501519,-73.555856,130,45.501519,-73.555856,0,TRUE
425-475 St-Amable,Vinci,"1171, rue de Claire-Fontaine",,"0,24","0,24","0,24","0,24","0,24",,,,17,,,,,,,"0,24","0,24",,10,,,,,,,,,TRUE,TRUE,TRUE,TRUE,46.804929,-71.219732,589,46.804929,-71.219732,0,TRUE
Bassin Brown,Vinci,"581, boulevard Champlain",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",3,16,,,,,,,,,,,,,,,,,,,FALSE,TRUE,TRUE,FALSE,46.801014,-71.212888,70,46.801014,-71.212888,0,TRUE
Bassin Louise,Vinci,"320, rue Abraham Martin",,"0,24","0,24","0,24","0,24","0,24",,,5,15,,,,,,,"0,24","0,24",5,10,,,,,,,,,FALSE,TRUE,TRUE,FALSE,46.818369,-71.212632,325,46.818369,-71.212632,0,TRUE
Clinique Laennec,Vinci,"1750, avenue de Vitré",,"0,24","0,24","0,24","0,24","0,24",,,4,10,,,,,,,"0,24","0,24",4,5,,,,,,,,,TRUE,TRUE,TRUE,FALSE,46.837011,-71.223774,70,46.837011,-71.223774,0,TRUE
Des Bains,Vinci,"5, ruelle des Bains",,"0,24","0,24","0,24","0,24","0,24",,,5,15,,,,,,,"0,24","0,24",5,9,,,,,,,,,FALSE,FALSE,TRUE,FALSE,46.8164,-71.211665,62,46.8164,-71.211665,0,TRUE
Dorchester,Vinci,"275, rue Sainte-Hélène",,"0,24","0,24","0,24","0,24","0,24",,,4,14,,,,,,,"0,24","0,24",4,7,,,,,,,,,FALSE,FALSE,TRUE,FALSE,46.812211,-71.226518,21,46.812211,-71.226518,0,TRUE
Gare Autobus Ste-Foy,Vinci,"6, avenue de Rochebelle",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",,9,,,,,,,,,,,,,,,,,,,FALSE,TRUE,TRUE,FALSE,46.772204,-71.301139,156,46.772204,-71.301139,0,TRUE
Hôpital Jeffery Hale,Vinci,"1270, chemin Sainte-Foy",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",6,12,,,,,,,,,,,,,,,,,,,FALSE,TRUE,TRUE,FALSE,46.796201,-71.252883,408,46.796201,-71.252883,0,TRUE
Hôtel Château-Laurier,Vinci,"771, avenue Wilfrid-Laurier",,"0,24","0,24","0,24","0,24","0,24",,,5,23,,,,,,,"0,24","0,24",5,7,,,,,,,,,TRUE,TRUE,TRUE,TRUE,46.806112,-71.215116,304,46.806112,-71.215116,0,TRUE
La Promenade,Vinci,"125, rue Dalhousie",,"0,24","0,24","0,24","0,24","0,24",,,6,18,,,,,,,"0,24","0,24",6,12,,,,,,,,,FALSE,TRUE,TRUE,TRUE,46.817768,-71.202805,140,46.817768,-71.202805,0,TRUE
Marina du Vieux Port,Vinci,"155, rue Abraham Martin",,"0,24","0,24","0,24","0,24","0,24",,,5,15,,,,,,,"0,24","0,24",5,10,,,,,,,,,FALSE,TRUE,TRUE,FALSE,46.820528,-71.206965,232,46.820528,-71.206965,0,TRUE
Petit Quartier,Vinci,"1191, avenue Cartier",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",4,16,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,FALSE,46.80284,-71.224353,99,46.80284,-71.224353,0,TRUE
Place Champlain,Vinci,"21, rue du Marché-Champlain",,"0,24","0,24","0,24","0,24","0,24",,,7,17,,,,,,,"0,24","0,24",7,12,,,,,,,,,FALSE,TRUE,TRUE,TRUE,46.811774,-71.202984,110,46.811774,-71.202984,0,TRUE
Place Québec,Vinci,"900, boulevard René-Lévesque Est",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",,20,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,46.810439,-71.217231,1032,46.810439,-71.217231,0,TRUE
Samson,Vinci,"270, rue St-Paul",,"0,24","0,24","0,24","0,24","0,24",,,5,16,,,,,,,"0,24","0,24",5,10,,,,,,,,,FALSE,TRUE,TRUE,TRUE,46.817235,-71.210865,110,46.817235,-71.210865,0,TRUE
St-André,Vinci,"80, Quai St-André",,"0,24","0,24","0,24","0,24","0,24",,,5,18,,,,,,,"0,24","0,24",5,12,,,,,,,,,FALSE,TRUE,TRUE,TRUE,46.816947,-71.204143,85,46.816947,-71.204143,0,TRUE
St-Thomas,Vinci,"117, Quai St-André",,"0,24","0,24","0,24","0,24","0,24",,,5,16,,,,,,,"0,24","0,24",5,10,,,,,,,,,FALSE,FALSE,TRUE,TRUE,46.817187,-71.208553,90,46.817187,-71.208553,0,TRUE
Terrasses du Vieux-Port,Vinci,"84, rue Dalhousie",,"0,24","0,24","0,24","0,24","0,24",,,6,18,,,,,,,"0,24","0,24",6,12,,,,,,,,,FALSE,TRUE,TRUE,FALSE,46.816894,-71.201585,454,46.816894,-71.201585,0,TRUE
Via Rail Ste-Foy,Vinci,"3255, Chemin de la Gare",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",10,10,,,,,,,,,,,,,,,,,,,FALSE,TRUE,TRUE,FALSE,46.754474,-71.297938,126,46.754474,-71.297938,0,TRUE
1000 de la Gauchetière,Vinci,"1000, rue de la Gauchetière Ouest",,"0,24","0,24","0,24","0,24","0,24",,,12,23,,,,,,,"0,24","0,24",12,12,,,,,,,,,TRUE,FALSE,TRUE,FALSE,45.497952,-73.566747,550,45.497952,-73.566747,0,TRUE
1010 Sherbrooke,Vinci,"1010, rue Sherbrooke Ouest",,"0,24","0,24","0,24","0,24","0,24",,,9,18.5,,,,,,,"0,24","0,24",9,8,,,,,,,,,TRUE,FALSE,TRUE,TRUE,45.502059,-73.575183,200,45.502059,-73.575183,0,TRUE
2001 McGill Coll. Mercantile,Vinci,"2001, avenue McGill College",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",19,21.5,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,45.503899,-73.573334,250,45.503899,-73.573334,0,TRUE
2020 Robert-Bourassa,Vinci,"2020, boulevard Robert-Bourassa",,"0,24","0,24","0,24","0,24","0,24",,,9,21,,,,,,,"0,24","0,24",9,6,,,,,,,,,TRUE,FALSE,TRUE,FALSE,45.503808,-73.57287,150,45.503808,-73.57287,0,TRUE
500 Place d'Armes,Vinci,500 Place d'Armes,,"0,24","0,24","0,24","0,24","0,24",,,9,18,,,,,,,"0,24","0,24",9,11,,,,,,,,,TRUE,FALSE,TRUE,TRUE,45.504307,-73.557933,299,45.504307,-73.557933,0,TRUE
500 René-Lévesque Ouest,Vinci,"500, boulevard René-Lévesque Ouest",,"0,24","0,24","0,24","0,24","0,24",,,8.5,19,,,,,,,"0,24","0,24",,8,,,,,,,,,TRUE,FALSE,TRUE,FALSE,45.50288,-73.56537,125,45.50288,-73.56537,0,TRUE
St-Antoine / St-Urbain,Vinci,"87, rue Saint-Antoine Ouest",,"0,24","0,24","0,24","0,24","0,24",,,,17,,,,,,,"0,24","0,24",,15,,,,,,,,,FALSE,FALSE,TRUE,FALSE,45.50597,-73.558401,50,45.50597,-73.558401,0,TRUE
2120- 2140 Chemin Sainte Foy,Vinci,"785, avenue Myrand",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",2,7,,,,,,,,,,,,,,,,,,,TRUE,FALSE,TRUE,FALSE,46.789502,-71.270847,50,46.789502,-71.270847,0,TRUE
Atwater,Vinci,"2021, avenue Atwater",,"0,24","0,24","0,24","0,24","0,24",,,11,11,,,,,,,"0,24","0,24",6,6,,,,,,,,,TRUE,FALSE,TRUE,FALSE,45.49085,-73.586287,150,45.49085,-73.586287,0,TRUE
Tour le 700 et Banque Nationale,Vinci,"721, avenue Viger Ouest",,"0,24","0,24","0,24","0,24","0,24",,,12.5,24,,,,,,,"0,24","0,24",9,9,,,,,,,,,TRUE,TRUE,TRUE,TRUE,45.501127,-73.563913,575,45.501127,-73.563913,0,TRUE
Bisson,Vinci,"771, rue Notre-Dame Ouest",,"0,24","0,24","0,24","0,24","0,24",,,13,13,,,,,,,"0,24","0,24",11,11,,,,,,,,,FALSE,FALSE,TRUE,FALSE,45.499181,-73.561074,350,45.499181,-73.561074,0,TRUE
Institut de Cardiologie,Vinci,"5000, rue Bélanger Est",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",10.5,17.25,,,,,,,,,,,,,,,,,,,TRUE,FALSE,TRUE,FALSE,45.573982,-73.5792,365,45.573982,-73.5792,0,TRUE
Centre Bell,Vinci,"1255, rue Saint-Antoine Ouest",,"0,24","0,24","0,24","0,24","0,24",,,12,12,,,,,,,"0,24","0,24",,12,,,,,,,,,TRUE,TRUE,FALSE,TRUE,45.495865,-73.568455,600,45.495865,-73.568455,0,TRUE
