"ID","Code","Description","season_start","season_end","time_max_parking","time_start","time_end","time_duration","LUN","MAR","MER","JEU","VEN","SAM","DIM","DAILY","special_days","restrict_type"
7,"PD-TT","P 60 min",,,60,0,,24,,,,,,,,1,,
8,"PV-JF","P 60 min 08h-18h LUN. AU VEN.",,,60,8,18,10,1,1,1,1,1,,,,,
9,"PV-OT","P 60 min 7h-18h LUN A VEN",,,60,7,18,11,1,1,1,1,1,,,,,
21,"SLR-ST-105","8H À 12H MAR JEU 13H À 17H LUN MER VEN",,,,13,17,4,1,,1,,1,,,,,
21,"SLR-ST-105","8H À 12H MAR JEU 13H À 17H LUN MER VEN",,,,8,12,4,,1,,1,,,,,,
22,"SLR-ST-106","8H À 12H MAR JEU 13H À 18H LUN MER VEN",,,,13,18,5,1,,1,,1,,,,,
22,"SLR-ST-106","8H À 12H MAR JEU 13H À 18H LUN MER VEN",,,,8,12,4,,1,,1,,,,,,
23,"SLR-ST-107","MAR JEU 8H À 12H LUN MER VEN 14H À 17H",,,,14,17,3,1,,1,,1,,,,,
23,"SLR-ST-107","MAR JEU 8H À 12H LUN MER VEN 14H À 17H",,,,8,12,4,,1,,1,,,,,,
25,"SLR-ST-111","17H MAR À 17H MER - 17H JEU À 17H VEN - 17H SAM À 17H LUN",,,,17,,24,,,,1,,,,,,
25,"SLR-ST-111","17H MAR À 17H MER - 17H JEU À 17H VEN - 17H SAM À 17H LUN",,,,17,,24,,1,,,,,,,,
25,"SLR-ST-111","17H MAR À 17H MER - 17H JEU À 17H VEN - 17H SAM À 17H LUN",,,,17,,48,,,,,,1,,,,
26,"SLR-ST-112","18H MAR À 18H MER - 18H JEU À 18H VEN - 18H SAM À 18H LUN",,,,18,,24,,,,1,,,,,,
26,"SLR-ST-112","18H MAR À 18H MER - 18H JEU À 18H VEN - 18H SAM À 18H LUN",,,,18,,24,,1,,,,,,,,
26,"SLR-ST-112","18H MAR À 18H MER - 18H JEU À 18H VEN - 18H SAM À 18H LUN",,,,18,,48,,,,,,1,,,,
32,"SLR-ST-135","30 MIN - MAR MER VEN - 9H À 16H30 - LUN JEU - 12H À 16H30",,,30,12,16.5,4.5,1,,,1,,,,,,
32,"SLR-ST-135","30 MIN - MAR MER VEN - 9H À 16H30 - LUN JEU - 12H À 16H30",,,30,9,16.5,7.5,,1,1,,1,,,,,
44,"SLR-ST-172","120 MIN - LUN 17H À MAR 17H - MER 17H À JEU 17H - VEN 17H À SAM 17H",,,120,17,,24,1,,,,,,,,,
44,"SLR-ST-172","120 MIN - LUN 17H À MAR 17H - MER 17H À JEU 17H - VEN 17H À SAM 17H",,,120,17,,24,,,,,1,,,,,
44,"SLR-ST-172","120 MIN - LUN 17H À MAR 17H - MER 17H À JEU 17H - VEN 17H À SAM 17H",,,120,17,,24,,,1,,,,,,,
45,"SLR-ST-173","120 MIN - LUN 18H À MAR 18H - MER 18H À JEU 18H - VEN 18H À SAM 18H",,,120,18,,24,1,,,,,,,,,
45,"SLR-ST-173","120 MIN - LUN 18H À MAR 18H - MER 18H À JEU 18H - VEN 18H À SAM 18H",,,120,18,,24,,,,,1,,,,,
45,"SLR-ST-173","120 MIN - LUN 18H À MAR 18H - MER 18H À JEU 18H - VEN 18H À SAM 18H",,,120,18,,24,,,1,,,,,,,
46,"SLR-ST-174","120 MIN - MAR 17H À MER 17H - JEU 17H À VEN 17H - SAM 17H À LUN 17H",,,120,17,,24,,,,1,,,,,,
46,"SLR-ST-174","120 MIN - MAR 17H À MER 17H - JEU 17H À VEN 17H - SAM 17H À LUN 17H",,,120,17,,24,,1,,,,,,,,
46,"SLR-ST-174","120 MIN - MAR 17H À MER 17H - JEU 17H À VEN 17H - SAM 17H À LUN 17H",,,120,17,,48,,,,,,1,,,,
47,"SLR-ST-175","120 MIN - MAR 18H À MER 18H - JEU 18H À VEN 18H - SAM 18H À LUN 18H",,,120,18,,24,,,,1,,,,,,
47,"SLR-ST-175","120 MIN - MAR 18H À MER 18H - JEU 18H À VEN 18H - SAM 18H À LUN 18H",,,120,18,,24,,1,,,,,,,,
47,"SLR-ST-175","120 MIN - MAR 18H À MER 18H - JEU 18H À VEN 18H - SAM 18H À LUN 18H",,,120,18,,48,,,,,,1,,,,
54,"SLR-ST-27","6H à 12H LUNDI",,,,6,12,6,1,,,,,,,,,
55,"SLR-ST-28","7H à 13H LUNDI",,,,7,13,6,1,,,,,,,,,
56,"SLR-ST-33","9H à 12H - LUNDI - 15 AVR au 15 NOV","04-15","11-15",,9,12,3,1,,,,,,,,,
57,"SLR-ST-42","9H À 12H - MARDI - 15 AVR AU 15 NOV","04-15","11-15",,9,12,3,,1,,,,,,,,
59,"SLR-ST-59","7H À 12H LUN ET JEU",,,,7,12,5,1,,,1,,,,,,
60,"SLR-ST-60","7H À 12H LUN ET JEU (NON CONFORME)",,,,7,12,5,1,,,1,,,,,,
61,"SLR-ST-68","8H À 17H - LUN MER VEN",,,,8,17,9,1,,1,,1,,,,,
62,"SLR-ST-70","8H À 18H LUN MER VEN",,,,8,18,10,1,,1,,1,,,,,
63,"SLR-ST-79","8H À 12H LUN MER VEN 13H À 18H MAR JEU",,,,8,12,4,1,,1,,1,,,,,
63,"SLR-ST-79","8H À 12H LUN MER VEN 13H À 18H MAR JEU",,,,13,18,5,,1,,1,,,,,,
64,"SLR-ST-80","LUN 17H À MAR 17H - MER 17H À JEU 17H - VEN 17H À SAM 17H",,,,17,,24,1,,,,,,,,,
64,"SLR-ST-80","LUN 17H À MAR 17H - MER 17H À JEU 17H - VEN 17H À SAM 17H",,,,17,,24,,,,,1,,,,,
64,"SLR-ST-80","LUN 17H À MAR 17H - MER 17H À JEU 17H - VEN 17H À SAM 17H",,,,17,,24,,,1,,,,,,,
65,"SLR-ST-81","LUN 18H À MAR 18H - MER 18H À JEU 18H - VEN 18H À SAM 18H",,,,18,,24,1,,,,,,,,,
65,"SLR-ST-81","LUN 18H À MAR 18H - MER 18H À JEU 18H - VEN 18H À SAM 18H",,,,18,,24,,,,,1,,,,,
65,"SLR-ST-81","LUN 18H À MAR 18H - MER 18H À JEU 18H - VEN 18H À SAM 18H",,,,18,,24,,,1,,,,,,,
66,"SLR-ST-82","LUN MER VEN 8H À 12H - MAR JEU 13H À 17H",,,,8,12,4,1,,1,,1,,,,,
66,"SLR-ST-82","LUN MER VEN 8H À 12H - MAR JEU 13H À 17H",,,,13,17,4,,1,,1,,,,,,
67,"SLR-ST-84","LUN MER VEN 8H À 12H - MAR JEU 14H À 17H",,,,8,12,4,1,,1,,1,,,,,
67,"SLR-ST-84","LUN MER VEN 8H À 12H - MAR JEU 14H À 17H",,,,14,17,3,,1,,1,,,,,,
68,"SLR-ST-89","8H À 17H MAR JEU",,,,8,17,9,,1,,1,,,,,,
69,"SLR-ST-93","8H À 18H MAR JEU",,,,8,18,10,,1,,1,,,,,,
71,"SB-AA","\P 07h-09h LUNDI JEUDI 1 MARS AU 1 DEC.","01-03","12-01",,7,9,2,1,,,1,,,,,,
72,"SB-AA-A","\P 07h-09h LUNDI JEUDI 1 AVRIL AU 1 DEC.","01-04","12-01",,7,9,2,1,,,1,,,,,,
73,"SB-AB","\P 06h30-07h30 MAR. VEN. 1 MARS AU 1 DEC.","03-01","12-01",,6.5,7.5,1,,1,,,1,,,,,
74,"SB-AB-A","\P 06h30-07h30 MAR. VEN. 1 AVRIL AU 1 DEC.","04-01","12-01",,6.5,7.5,1,,1,,,1,,,,,
75,"SB-AC","\P 09h-12h MAR. VEN.",,,,9,12,3,,1,,,1,,,,,
76,"SB-AE","\P 06h30-07h30 LUN. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,6.5,7.5,1,1,,,1,,,,,,
77,"SB-AE-A","\P 06h30-07h30 LUN. JEU. 1 AVIL AU 1 DEC.","04-01","12-01",,6.5,7.5,1,1,,,1,,,,,,
78,"SB-AF","\P 09h-12h LUN. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,9,12,3,1,,,1,,,,,,
79,"SB-AF-A","\P 09h-12h LUN. JEU. 1 AVRILAU 1 DEC.","04-01","12-01",,9,12,3,1,,,1,,,,,,
