code,description,season_start,season_end,time_max_parking,time_start,time_end,time_duration,lun,mar,mer,jeu,ven,sam,dim,daily,special_days,metered,restrict_typ,permit_no
PS-100C,2 HOUR METERED PARKING MONDAY-FRIDAY 9AM-4PM SATURDAY 9AM-7PM,,,120,9,16,7,1,1,1,1,1,,,,,1,,
PS-100C,2 HOUR METERED PARKING MONDAY-FRIDAY 9AM-4PM SATURDAY 9AM-7PM,,,120,9,19,10,,,,,,1,,,,1,,
PS-100CA,2 HOUR METERED PARKING MONDAY-FRIDAY 9AM-4PM SATURDAY 9AM-7PM ,,,120,9,16,7,1,1,1,1,1,,,,,1,,
PS-100CA,2 HOUR METERED PARKING MONDAY-FRIDAY 9AM-4PM SATURDAY 9AM-7PM ,,,120,9,19,10,,,,,,1,,,,1,,
PS-100D,STAR  AVO MTA POLICE,,,,0,24,24,,,,,,,,1,,,emergency,
PS-100DA,STAR  AVO MTA POLICE ,,,,0,24,24,,,,,,,,1,,,emergency,
PS-100G,NO PARKING MONDAY-FRIDAY 7AM-10AM,,,,7,10,3,1,1,1,1,1,,,,,,,
PS-100GA,NO PARKING MONDAY-FRIDAY 7AM-10AM ,,,,7,10,3,1,1,1,1,1,,,,,,,
PS-101BA,NO PARKING  WEDNESDAY 8AM-9AM ,,,,8,9,1,,,1,,,,,,,,,
PS-101C,2 HOUR METERED PARKING MONDAY-FRIDAY 10AM-7PM SATURDAY 9AM-7PM,,,120,9,19,10,,,,,,1,,,,1,,
PS-101C,2 HOUR METERED PARKING MONDAY-FRIDAY 10AM-7PM SATURDAY 9AM-7PM,,,120,10,19,9,1,1,1,1,1,,,,,1,,
PS-101CA,2 HOUR METERED PARKING MONDAY-FRIDAY 10AM-7PM SATURDAY 9AM-7PM ,,,120,9,19,10,,,,,,1,,,,1,,
PS-101CA,2 HOUR METERED PARKING MONDAY-FRIDAY 10AM-7PM SATURDAY 9AM-7PM ,,,120,10,19,9,1,1,1,1,1,,,,,1,,
