code,description,season_start,season_end,time_max_parking,time_start,time_end,time_duration,lun,mar,mer,jeu,ven,sam,dim,daily,special_days,metered,restrict_typ,permit_no
PP2581,Stat. int. EXCEPTÉ VÉHICULES AUTORISÉS (fl. ga.),,,,,,,,,,,,,,1,,,authorized,
PS4613,Stat. 60 min 8h - 18h LUN-MER-VEN EXCEPTÉ VÉH. ZONE A3-3 (fl. dou.) (vert),,,60,8,18,10,1,,1,,1,,,,,,permit,A3-3
PS2161,Stat. 20 min 8h - 22h (fl. ga.),,,20,8,22,14,,,,,,,,1,,,,
PP1328,Stat. int. 8h - 18h LUN-MER-VEN-DIM (fl. dr.),,,,8,18,10,1,,1,,1,,1,,,,,
PP1493,Régl. fédérale Stat. int. 1h - 6h FÉDÉRALE (fl. dou.),,,,1,6,5,,,,,,,,1,,,,
PD1301,Stat. int. DÉBARCADÈRE 8h - 16h LUN À SAM (fl. ga.),,,,8,16,12,1,1,1,1,1,1,,,,,dropoff,
PP1838,Stat. int. 7h - 22h LUN À VEN (fl. dr.),,,,7,22,15,1,1,1,1,1,,,,,,,
PS2833,Stat. 120 min 8h - 16h MAR-JEU-SAM (fl. dou.),,,120,8,16,8,,1,,1,,1,,,,,,
PP1225,Stat. int. 8h - 20h MAR-JEU (fl. dr.),,,,8,20,12,,1,,1,,,,,,,,
PS2044,Stat. 60 min 12h - 17h LUN À VEN (fl. ga.),,,60,12,17,5,1,1,1,1,1,,,,,,,
PP1039,Stat. int. 7h - 17h30 (fl. dou.),,,,7,17.5,10.5,,,,,,,,1,,,,
PP1639,Stat. int. 0h01 - 7h MAR-JEU 15 NOV AU 15 AVRIL( fl. dou.),11-15,04-15,,0,7,7,,1,,1,,,,,,,,
PP1219,Stat. int. 8h - 18h LUN-MER-VEN 15 NOV AU 15 AVRIL (fl. dou.),11-15,04-15,,8,18,10,1,,1,,1,,,,,,,
PP1852,Stat. int. EXCEPTÉ BUS (fl. dr.),,,,,,,,,,,,,,1,,,bus,
PP1517,Stat. Int. 1er nov au 30 avril (fl. gauche),11-01,04-30,,,,,,,,,,,,1,,,,
PP2102,Stat. int. 7h - 9h MAR-SAM (fl. dr.),,,,7,9,2,,1,,,,1,,,,,,
PA1130,Arrêt int. DE CE CÔTÉ (recto / verso),,,,,,,,,,,,,,1,,,,
PS1032,Stat. 10 min 8h - 18h LUN À VEN (fl. dr.),,,10,8,18,10,1,1,1,1,1,,,,,,,
PS1562,Stat. 30 min 9h - 17h LUN À VEN (fl. dr.),,,30,9,17,8,1,1,1,1,1,,,,,,,
PS1465,Stat. 10 min 7h - 9h LUN À VEN (fl. dr.),,,10,7,9,2,1,1,1,1,1,,,,,,,
PS2728,Stat. 60 min 8h - 18h MAR-JEU (fl. dr.),,,60,8,18,10,,1,,1,,,,,,,,
PS7700,Panonceau EXCEPTÉ VÉHICULES MUNIS D'UN PERMIS DE STATIONNEMENT ZONE A3-7 (jaune),,,,,,,,,,,,,,1,,,permit,A3-7
PP1813,"Stat. int. 10h - 10h30, 14h - 14h30 LUN À VEN (fl. dou.)",,,,10,10.5,0.5,1,1,1,1,1,,,,,,,
PP1813,"Stat. int. 10h - 10h30, 14h - 14h30 LUN À VEN (fl. dou.)",,,,14,14.5,0.5,1,1,1,1,1,,,,,,,
PS2443,Stat. 20 min (fl. dou.),,,20,,,,,,,,,,,1,,,,
PA2071,Arrêt int. 7h30 - 16h LUN À VEN PÉRIODE SCOLAIRE (fl. ga.),,,,7.5,16,10.5,1,1,1,1,1,,,,school,,,
PS1468,Stat. 10 min 9h - 18h LUN À VEN (fl. dr.),,,10,9,18,9,1,1,1,1,1,,,,,,,
PA7372,Arrêt int. ARRÊT D'AUTOBUS 11h - 19h LUN À VEN (fl. dr.) RTC,,,,11,19,8,1,1,1,1,1,,,,,,bus,
PP2420,Stat. int. DANS CETTE RUE LORS DES OPÉRATIONS DE DÉNEIGEMENT - remorquage (recto / verso),,,,,,,,,,,,,,1,,,snow clearance,
PD1191,Stat. int. DÉBARCADÈRE 30 min (fl.ga.),,,30,,,,,,,,,,,1,,,dropoff,
PS4012,Stat. 120 min 8h - 16h MAR-JEU EXCEPTÉ VÉH. ZONE A3-3 (fl. dr.) (vert),,,120,8,16,8,,1,,1,,,,,,,permit,A3-3
PS1081,Stat. 30 min 9h30 - 16h LUN À VEN (fl. ga.),,,30,9.5,16,6.5,1,1,1,1,1,,,,,,,
PP2508,Stat. int. 7h30 - 16h LUN À VEN (fl. dr.),,,,7.5,16,10.5,1,1,1,1,1,,,,,,,
PS2651,"Stat. 60 min 9h - 12h, 13h30 - 17h LUN À VEN (fl. ga.) EXCEPTÉ PERMIS ZONE 5 (violet)",,,60,9,12,3,1,1,1,1,1,,,,,,permit,5
PS2651,"Stat. 60 min 9h - 12h, 13h30 - 17h LUN À VEN (fl. ga.) EXCEPTÉ PERMIS ZONE 5 (violet)",,,60,13.5,17,3.5,1,1,1,1,1,,,,,,permit,5
PA7291,Arrêt int. EXCEPTÉ TAXIS (fl. ga.),,,,,,,,,,,,,,1,,,taxi,
PP2131,Stat. int. POSTE EN COMMUN TAXIS EN AUTRE TEMPS (fl. ga.),,,,,,,,,,,,,,,,,taxi,
PP2007,Stat. int. 8h - 17h MAR-JEU (fl. ga.),,,,8,17,9,,1,,1,,,,,,,,
PP2376,Stat. int. 1er DÉC AU 1er AVRIL (fl. dou.),12-01,04-01,,,,,,,,,,,,1,,,,
PP2920,Stat. int. CÔTÉ DROIT - Stat. int. DÉBARCADÈRE CÔTÉ GAUCHE (recto / verso),,,,,,,,,,,,,,1,,,,
PP2920,Stat. int. CÔTÉ DROIT - Stat. int. DÉBARCADÈRE CÔTÉ GAUCHE (recto / verso),,,,,,,,,,,,,,1,,,dropoff,
PS2523,Stat. 60 min 9h - 21h LUN À VEN (fl. dou.) EXCEPTÉ PERMIS ZONE 21(bleu),,,60,9,21,12,1,1,1,1,1,,,,,,permit,21
PP1032,Stat. int. 8h - 20h MAR-JEU-SAM (fl. dr.),,,,8,20,12,,1,,1,,1,,,,,,
PS1953,Stat. 120 min 8h - 16h MAR-JEU EXCEPTÉ VÉH. ZONE A3-1 (fl. dou.) (bleu),,,120,8,16,8,,1,,1,,,,,,,permit,A3-1
PS2213,Stat. 30 min 9h - 15h LUN À VEN (fl. dou.),,,30,9,15,6,1,1,1,1,1,,,,,,,
PD1565,Stat. int. DÉBARCADÈRE 7h - 18h LUN À VEN (fl. dr.),,,,7,18,11,1,1,1,1,1,,,,,,dropoff,
PP1490,Régl. fédérale Stat. int. 1h - 6h FÉDÉRALE (recto / verso),,,,1,6,5,,,,,,,,1,,,,
PS2763,Stat. 60 min 9h - 19h (fl. dou.) EXCEPTÉ PERMIS ZONE 15 (violet),,,60,9,19,10,,,,,,,,1,,,permit,15
PD1341,Stat. int. DÉBARCADÈRE 8h - 12h MAR À VEN (fl.ga.),,,,8,12,4,,1,1,1,1,,,,,,dropoff,
PA1293,Arrêt int. ARRÊT D'AUTOBUS LUN À VEN (fl. dou.) RTC,,,,,,,1,1,1,1,1,,,,,,bus,
PD1292,Stat. int. DÉBARCADÈRE 8h - 17h (fl. dr.),,,,8,17,9,,,,,,,,1,,,dropoff,
PS1301,Stat. 60 min 9h - 17h LUN À VEN (fl. ga.),,,60,9,17,8,1,1,1,1,1,,,,,,,
PP2219,Stat. int. 0h - 6h LUN À VEN 15 NOV AU 31 MARS (fl. dou.),11-15,03-31,,0,6,6,1,1,1,1,1,,,,,,,
PS3062,Stat. 120 min 8h - 18h MAR-JEU (fl. dr.),,,120,8,18,10,,1,,1,,,,,,,,
PP1221,Stat. int. 8h - 16h LUN-MER-VEN (fl. ga.),,,,8,16,8,1,,1,,1,,,,,,,
PD1192,Stat. int. DÉBARCADÈRE 30 min (fl. dr.),,,30,,,,,,,,,,,1,,,dropoff,
PS2231,Stat. 60 min 9h - 17h LUN À VEN (fl. ga.) EXCEPTÉ PERMIS ZONE 14 (brun),,,60,9,17,8,1,1,1,1,1,,,,,,permit,14
PS1555,Stat. 30 min 9h - 18h LUN À VEN (fl. dr.),,,30,9,18,9,1,1,1,1,1,,,,,,,
PS3018,Stat. 120 min 8h - 18h MAR-JEU EXCEPTÉ VÉH. ZONE A3-2 (fl. dr.) (orange),,,120,8,18,10,,1,,1,,,,,,,permit,A3-2
PD1502,Stat. int. DÉBARCADÈRE 9h - 15h LUN À VEN (fl. dr.),,,,9,15,6,1,1,1,1,1,,,,,,dropoff,
PP1528,Stat. int. 7h30 - 17h LUN-MER-VEN 1er AVRIL AU 15 NOV (fl. dr.),04-01,11-15,,7.5,17,9.5,1,,1,,1,,,,,,,
PP1384,Stat. int. 0h - 8h MARDI (fl. gauche),,,,0,8,8,,1,,,,,,,,,,
PS2875,"Stat. 30 min 8h - 12h, 13h30 - 21h (fl. dr.)",,,30,8,12,4,,,,,,,,1,,,,
PS2875,"Stat. 30 min 8h - 12h, 13h30 - 21h (fl. dr.)",,,30,13.5,21,7.5,,,,,,,,1,,,,
PP3303,Stat. int. 8h - 18h LUN-MER-VEN 15 NOV AU 31 MARS (fl. dou.),11-15,03-31,,8,18,10,1,,1,,1,,,,,,,
PD1202,Stat. int. DÉBARCADÈRE 8h - 18h LUN À SAM (fl. dr.),,,,8,18,10,1,1,1,1,1,1,,,,,dropoff,
PP1917,Stat. int. 8h - 16h MARDI (fl. ga.),,,,8,16,8,,1,,,,,,,,,,
PP1833,"Stat. int. 9h30 - 10h, 14h - 14h30 LUN-MER-VEN (fl. dou.)",,,,9.5,10,0.5,1,,1,,1,,,,,,,
PP1833,"Stat. int. 9h30 - 10h, 14h - 14h30 LUN-MER-VEN (fl. dou.)",,,,14,14.5,0.5,1,,1,,1,,,,,,,
PP2679,Stat. int. 1er AVRIL AU 14 NOV (fl. dou),04-01,11-14,,,,,,,,,,,,1,,,,
PS2863,Stat. 20 min 8h - 16h LUN À VEN PÉRIODE SCOLAIRE (fl. dou.),,,20,8,16,8,1,1,1,1,1,,,,school,,,
PP1418,Stat. int. 10h30 - 11h  LUN À VEN (fl. dr.),,,,10.5,11,0.5,1,1,1,1,1,,,,,,,
PS1852,Stat. 120 min 8h - 16h LUN-MER-VEN EXCEPTÉ VÉH. ZONE A3-1 (fl. dr.) (bleu),,,120,8,16,8,1,,1,,1,,,,,,permit,A3-1
PD1683,Stat. int. DÉBARCADÈRE 15 min max. (fl. dou.) (Ville Ancienne-Lorette),,,15,,,,,,,,,,,1,,,dropoff,
PS2542,Stat. 30 min 9h - 18h LUN À VEN (fl. dr.) EXCEPTÉ PERMIS ZONE 10 (bleu),,,30,9,18,9,1,1,1,1,1,,,,,,permit,10
PS2662,Stat. 60 min 9h - 21h (fl. dr.) EXCEPTÉ PERMIS ZONE 25  (violet),,,60,9,21,12,,,,,,,,1,,,permit,25
PP2426,Stat. int. 8h - 20h 15 NOV AU 15 AVR (fl. dou.),11-15,04-15,,8,20,12,,,,,,,,1,,,,
PP1181,Stat. int. 16h - 17h30 LUN À VEN (fl. ga.),,,,16,17.5,1.5,1,1,1,1,1,,,,,,,
PP1431,Stat. int. 7h30 - 17h LUN À VEN (fl. ga.),,,,7.5,17,9.5,1,1,1,1,1,,,,,,,
PS1902,Stat. 10 min 8h - 18h LUN À SAM (fl. dr.),,,10,8,18,10,1,1,1,1,1,1,,,,,,
PS2263,Stat. 30 min 6h - 21h (fl. dou.),,,30,6,21,15,,,,,,,,1,,,,
PP1509,Stat. int. 15 NOV AU 31 MARS (fl. dou.),11-15,03-31,,,,,,,,,,,,1,,,,
PD1573,Stat. int. DÉBARCADÈRE ET bus - valises 10 min (fl. dou.),,,10,,,,,,,,,,,,,,dropoff,
PS2615,Stat. 60 min 8h - 17h LUN À VEN (fl. dr.),,,60,8,17,9,1,1,1,1,1,,,,,,,
PS2361,"Stat. int. 22h - 6h, stat. 90 min 9h - 22h LUN À VEN (fl. ga.) EXCEPTÉ PERMIS ZONE 9 (rouge)",,,,22,,8,,,,,,,,1,,,permit,9
PS2361,"Stat. int. 22h - 6h, stat. 90 min 9h - 22h LUN À VEN (fl. ga.) EXCEPTÉ PERMIS ZONE 9 (rouge)",,,90,9,22,13,1,1,1,1,1,,,,,,permit,9
PD1562,Stat. int. DÉBARCADÈRE 6h - 9h (fl. dr.),,,,6,9,3,,,,,,,,1,,,dropoff,
PS1643,Stat. 60 min (fl. dou.),,,60,,,0,,,,,,,,1,,,,
PP3608,Stat. int. MAR-JEU-SAM 15 NOV AU 31 MARS (fl. dr.),11-15,03-31,,,,,,1,,1,,1,,,,,,
PS2514,Stat. 60 min 8h - 18h LUN À VEN (fl. ga.),,,60,8,18,10,1,1,1,1,1,,,,,,,
PP1492,Régl. fédérale Stat. int. 1h - 6h FÉDÉRALE (fl. dr.),,,,1,6,5,,,,,,,,1,,,,
PP1183,Stat. int. 16h - 17h30 LUN À VEN (fl. dou.),,,,16,17.5,1.5,1,1,1,1,1,,,,,,,
PS2693,Stat. 60 min 9h - 17h LUN À VEN (fl. dou.) EXCEPTÉ PERMIS ZONE 26 (gris),,,60,9,17,8,1,1,1,1,1,,,,,,permit,26
PD1342,Stat. int. DÉBARCADÈRE 8h - 12h MAR À VEN (fl.dr.),,,,8,12,4,,1,1,1,1,,,,,,dropoff,
PS2314,Stat. 60 min 9h - 21h (fl. ga.),,,60,9,21,12,,,,,,,,1,,,,
PS3024,Stat. 60 min 9h - 14h LUN À VEN (fl. ga.),,,60,9,14,5,1,1,1,1,1,,,,,,,
PP1291,Stat. int. 16h - 17h LUN À VEN (fl. ga.),,,,16,17,1,1,1,1,1,1,,,,,,,
PS2264,Stat. 30 min 8h - 23h (fl. ga.),,,30,8,23,15,,,,,,,,1,,,,
PP3206,Stat. int. LUN-MER-VEN 15 NOV AU 31 MARS (fl. dou.),11-15,03-31,,,,,1,,1,,1,,,,,,,
PS7704,Panonceau EXCEPTÉ VÉHICULES MUNIS D'UN PERMIS DE STATIONNEMENT ZONE A3-27 (jaune),,,,,,,,,,,,,,1,,,permit,A3-27
PP1341,Stat. int. 8h - 18h LUN À VEN (fl. ga.),,,,8,18,10,1,1,1,1,1,,,,,,,
PA1013,Arrêt int. (fl. dou.),,,,,,,,,,,,,,1,,,,
PS2311,Stat. 60 min 9h - 21h LUN À VEN (fl. ga.),,,60,9,21,12,1,1,1,1,1,,,,,,,
PS2491,Stat. 90 min 9h - 15h LUN À VEN (fl. ga.) EXCEPTÉ PERMIS ZONE 7 (jaune),,,90,9,15,6,1,1,1,1,1,,,,,,permit,7
